	type					
pres_year_group	Hydrophilic	Hydrophilic	Lipophilic	Lipophilic	Total	Total
	No.	%	No.	%	No.	%
>=1996	7,037.0	18.2	31,531.0	81.8	38,568.0	100.0
>=2001	21,427.0	10.3	187,018.0	89.7	208,445.0	100.0
>=2006	3,566.0	1.6	217,726.0	98.4	221,292.0	100.0
>=2011	1,115.0	0.9	119,035.0	99.1	120,150.0	100.0
Total	33,145.0	5.6	555,310.0	94.4	588,455.0	100.0

