result_id,type,yi,sei,d1j,d1d,d1t,d2j,d2d,d2t,d3j,d3d,d3t,d4j,d4d,d4t,d5j,d5d,d5t,d6j,d6d,d6t,d7j,d7d,d7t,overall
10181-3,NRSE - Triglycerides (SD),0.819779831,0.341255023,Serious,Unpredictable,Add,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Moderate,Right,Prop,Serious
10182-3,NRSE - Hypertriglyceridemia,-0.634878272,0.852770869,Moderate,Unpredictable,Add,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Moderate,Left,Prop,Moderate
10182-9,NRSE - Hypertriglyceridemia,0.364643114,0.655303095,Moderate,Unpredictable,Add,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Moderate,Right,Prop,Moderate
90002-3,NRSE - Triglycerides (SD),0,0.1480489,Serious,Unpredictable,Add,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Moderate,Unpredictable,Prop,Serious
999-1,NRSE - Triglycerides (SD),0.223143551,0.11001862,Serious,Unpredictable,Add,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Moderate,Right,Prop,Serious
999-2,NRSE - Triglycerides (SD),0.39877612,0.080323524,Serious,Unpredictable,Add,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Moderate,Right,Prop,Serious
999-3,NRSI - Fibrates,0.254642218,0.226894666,Serious,Right,Add,Low,None,None,Low,None,None,Low,None,None,Low,None,None,Serious,Right,Add,Moderate,Right,Prop,Serious
