result_id,type,yi,sei,d1j,d1d,d1t,d2j,d2d,d2t,d3j,d3d,d3t
10181-3,NRSE,0.819779831,0.341255023,Serious,Unpredictable,Prop,Moderate,Unpredictable,Prop,Low,None,None
90002-3,NRSE,0,0.1480489,Serious,Unpredictable,Prop,Low,None,None,Low,None,None
10182-3,NRSE,-0.634878272,0.852770869,Low,None,None,Low,None,None,Low,None,None
10182-9,NRSE,0.364643114,0.655303095,Serious,Unpredictable,Prop,Low,None,None,Low,None,None
999-1,NRSE,0.223143551,0.11001862,Low,None,None,Low,None,None,Low,None,None
999-2,NRSE,0.39877612,0.080323524,Low,None,None,Low,None,None,Low,None,None
999-3,NRSI,0.254642218,0.226894666,Low,None,None,High,Left,Prop,Low,None,None
